"GeneratedAtUtc","SourceTelemetryPath","SummaryPath","SampleCount","AverageQueueDelayMs","QueueDelayP95Ms","QueueDelayP99Ms","Pass"
"12/27/2025 16:27:07","C:\Users\Werem\AppData\Local\Temp\70884581-81d3-4e12-8818-9b4d0bd3eeb4\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\70884581-81d3-4e12-8818-9b4d0bd3eeb4\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/27/2025 16:27:07","C:\Users\Werem\AppData\Local\Temp\70884581-81d3-4e12-8818-9b4d0bd3eeb4\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-092707.json","10","10","10","10","True"
"12/27/2025 16:27:19","C:\Users\Werem\AppData\Local\Temp\dca2218d-1e5f-432c-b18f-84f6c0822dbb\metrics.json","C:\Users\Werem\AppData\Local\Temp\dca2218d-1e5f-432c-b18f-84f6c0822dbb\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-092719.json","10","10","10","10","True"
"12/27/2025 16:28:26","C:\Users\Werem\AppData\Local\Temp\e513a13a-4417-4a29-a83c-49a32d8be0d6\metrics.json","C:\Users\Werem\AppData\Local\Temp\e513a13a-4417-4a29-a83c-49a32d8be0d6\QueueDelaySummary.json","10","10","10","10","True"
"12/27/2025 16:28:27","C:\Users\Werem\AppData\Local\Temp\e513a13a-4417-4a29-a83c-49a32d8be0d6\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\e513a13a-4417-4a29-a83c-49a32d8be0d6\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/27/2025 16:28:27","C:\Users\Werem\AppData\Local\Temp\e513a13a-4417-4a29-a83c-49a32d8be0d6\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-092827.json","10","10","10","10","True"
"12/27/2025 16:28:41","C:\Users\Werem\AppData\Local\Temp\dfc772f2-9b27-4f41-b53a-5bbc1f060535\metrics.json","C:\Users\Werem\AppData\Local\Temp\dfc772f2-9b27-4f41-b53a-5bbc1f060535\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-092841.json","10","10","10","10","True"
"12/27/2025 23:42:46","C:\Users\Werem\AppData\Local\Temp\7d22d61f-1b51-4f0d-8625-ebeffb218d54\metrics.json","C:\Users\Werem\AppData\Local\Temp\7d22d61f-1b51-4f0d-8625-ebeffb218d54\QueueDelaySummary.json","10","10","10","10","True"
"12/27/2025 23:42:47","C:\Users\Werem\AppData\Local\Temp\7d22d61f-1b51-4f0d-8625-ebeffb218d54\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\7d22d61f-1b51-4f0d-8625-ebeffb218d54\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/27/2025 23:42:47","C:\Users\Werem\AppData\Local\Temp\7d22d61f-1b51-4f0d-8625-ebeffb218d54\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-164247.json","10","10","10","10","True"
"12/27/2025 23:43:06","C:\Users\Werem\AppData\Local\Temp\2e4f179d-325c-41aa-b0b5-8de4c37a12f0\metrics.json","C:\Users\Werem\AppData\Local\Temp\2e4f179d-325c-41aa-b0b5-8de4c37a12f0\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-164306.json","10","10","10","10","True"
"12/27/2025 23:45:26","C:\Users\Werem\AppData\Local\Temp\9a346091-658e-4a44-b8f9-c7ad1de322cd\metrics.json","C:\Users\Werem\AppData\Local\Temp\9a346091-658e-4a44-b8f9-c7ad1de322cd\QueueDelaySummary.json","10","10","10","10","True"
"12/27/2025 23:45:27","C:\Users\Werem\AppData\Local\Temp\9a346091-658e-4a44-b8f9-c7ad1de322cd\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\9a346091-658e-4a44-b8f9-c7ad1de322cd\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/27/2025 23:45:27","C:\Users\Werem\AppData\Local\Temp\9a346091-658e-4a44-b8f9-c7ad1de322cd\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-164527.json","10","10","10","10","True"
"12/27/2025 23:45:44","C:\Users\Werem\AppData\Local\Temp\895cbdb1-ed00-476f-91d1-eda72940af88\metrics.json","C:\Users\Werem\AppData\Local\Temp\895cbdb1-ed00-476f-91d1-eda72940af88\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-164544.json","10","10","10","10","True"
"12/28/2025 01:44:26","C:\Users\Werem\AppData\Local\Temp\8fa35563-1623-45cc-b87f-aa8ace6c97a0\metrics.json","C:\Users\Werem\AppData\Local\Temp\8fa35563-1623-45cc-b87f-aa8ace6c97a0\QueueDelaySummary.json","10","10","10","10","True"
"12/28/2025 01:44:27","C:\Users\Werem\AppData\Local\Temp\8fa35563-1623-45cc-b87f-aa8ace6c97a0\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\8fa35563-1623-45cc-b87f-aa8ace6c97a0\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/28/2025 01:44:28","C:\Users\Werem\AppData\Local\Temp\8fa35563-1623-45cc-b87f-aa8ace6c97a0\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-184428.json","10","10","10","10","True"
"12/28/2025 01:44:59","C:\Users\Werem\AppData\Local\Temp\aabe8880-5762-4311-928d-440ccbad26d1\metrics.json","C:\Users\Werem\AppData\Local\Temp\aabe8880-5762-4311-928d-440ccbad26d1\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-184459.json","10","10","10","10","True"
"12/28/2025 02:15:36","C:\Users\Werem\AppData\Local\Temp\ae36db45-ffe5-4e7a-9428-6a46b2470c61\metrics.json","C:\Users\Werem\AppData\Local\Temp\ae36db45-ffe5-4e7a-9428-6a46b2470c61\QueueDelaySummary.json","10","10","10","10","True"
"12/28/2025 02:15:37","C:\Users\Werem\AppData\Local\Temp\ae36db45-ffe5-4e7a-9428-6a46b2470c61\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\ae36db45-ffe5-4e7a-9428-6a46b2470c61\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/28/2025 02:15:37","C:\Users\Werem\AppData\Local\Temp\ae36db45-ffe5-4e7a-9428-6a46b2470c61\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-191537.json","10","10","10","10","True"
"12/28/2025 02:16:02","C:\Users\Werem\AppData\Local\Temp\7560a03e-3b7d-4cdb-a326-0da8ae7c70a1\metrics.json","C:\Users\Werem\AppData\Local\Temp\7560a03e-3b7d-4cdb-a326-0da8ae7c70a1\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-191602.json","10","10","10","10","True"
"12/28/2025 02:18:52","C:\Users\Werem\AppData\Local\Temp\86098047-b830-4d94-8ead-d75b43d692e8\metrics.json","C:\Users\Werem\AppData\Local\Temp\86098047-b830-4d94-8ead-d75b43d692e8\QueueDelaySummary.json","10","10","10","10","True"
"12/28/2025 02:18:53","C:\Users\Werem\AppData\Local\Temp\86098047-b830-4d94-8ead-d75b43d692e8\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\86098047-b830-4d94-8ead-d75b43d692e8\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/28/2025 02:18:53","C:\Users\Werem\AppData\Local\Temp\86098047-b830-4d94-8ead-d75b43d692e8\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-191853.json","10","10","10","10","True"
