"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UiCloneP95","StreamDispatchP95","DiffDurationP95","SiteCacheUpdateP95","HottestSite","HottestSiteUiClone","HottestHost","HottestHostUiClone"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-163612.json","12/26/2025 11:36:12 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\dd85a0cc-3f96-4ce2-a71d-f1bd6d466fda\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\InterfaceSyncTiming-smoke-20251226-163805.json","12/26/2025 11:38:05 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\InterfaceSyncTiming.json","12/26/2025 11:39:52 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\InterfaceSyncTiming-existing.json","12/26/2025 11:39:53 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-163953.json","12/26/2025 11:39:53 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\f1351456-24d1-4e15-baae-0cc9cbf2dfb7\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\InterfaceSyncTiming-smoke-20251226-164120.json","12/26/2025 11:41:20 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\InterfaceSyncTiming.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\InterfaceSyncTiming-existing.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-164302.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\OutputRoot\Logs\Reports\InterfaceSyncTiming-smoke-20251226-164451.json","12/26/2025 11:44:51 PM","C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
