"GeneratedAtUtc","FilesAnalyzed","ReportPath","TotalLaunchEvents","UniqueSites","MaxObservedStreak","ViolationCount","Pass"
"12/31/2025 02:03:42","C:\Users\Werem\AppData\Local\Temp\138aae91-3b56-4493-8c1e-565ae9f6c29a\metrics.json","C:\Users\Werem\AppData\Local\Temp\138aae91-3b56-4493-8c1e-565ae9f6c29a\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 02:03:42","C:\Users\Werem\AppData\Local\Temp\138aae91-3b56-4493-8c1e-565ae9f6c29a\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\138aae91-3b56-4493-8c1e-565ae9f6c29a\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 02:03:43","C:\Users\Werem\AppData\Local\Temp\138aae91-3b56-4493-8c1e-565ae9f6c29a\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-190343.json","0","0","0","0","True"
"12/31/2025 02:05:44","C:\Users\Werem\AppData\Local\Temp\3f059c48-aa04-44da-b119-2872bb4ad857\metrics.json","C:\Users\Werem\AppData\Local\Temp\3f059c48-aa04-44da-b119-2872bb4ad857\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-190544.json","1","1","1","0","True"
"12/31/2025 02:07:36","C:\Users\Werem\AppData\Local\Temp\352c31b1-ef36-454e-861b-1f4e029af860\metrics.json","C:\Users\Werem\AppData\Local\Temp\352c31b1-ef36-454e-861b-1f4e029af860\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 02:07:37","C:\Users\Werem\AppData\Local\Temp\352c31b1-ef36-454e-861b-1f4e029af860\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\352c31b1-ef36-454e-861b-1f4e029af860\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 02:07:37","C:\Users\Werem\AppData\Local\Temp\352c31b1-ef36-454e-861b-1f4e029af860\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-190737.json","0","0","0","0","True"
"12/31/2025 02:09:35","C:\Users\Werem\AppData\Local\Temp\b02f154d-0ce4-460d-a540-85b270e15cd9\metrics.json","C:\Users\Werem\AppData\Local\Temp\b02f154d-0ce4-460d-a540-85b270e15cd9\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-190935.json","1","1","1","0","True"
"12/31/2025 03:48:33","C:\Users\Werem\AppData\Local\Temp\f5fa83c5-b879-47ae-9850-73edc889252a\metrics.json","C:\Users\Werem\AppData\Local\Temp\f5fa83c5-b879-47ae-9850-73edc889252a\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 03:48:34","C:\Users\Werem\AppData\Local\Temp\f5fa83c5-b879-47ae-9850-73edc889252a\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\f5fa83c5-b879-47ae-9850-73edc889252a\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 03:48:34","C:\Users\Werem\AppData\Local\Temp\f5fa83c5-b879-47ae-9850-73edc889252a\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-204834.json","0","0","0","0","True"
"12/31/2025 03:50:56","C:\Users\Werem\AppData\Local\Temp\49f88558-503a-49b0-86f0-e8f9deafd12e\metrics.json","C:\Users\Werem\AppData\Local\Temp\49f88558-503a-49b0-86f0-e8f9deafd12e\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-205056.json","1","1","1","0","True"
"12/31/2025 03:56:36","C:\Users\Werem\AppData\Local\Temp\aa77e216-cf7b-43e1-b91a-b84b8f528396\metrics.json","C:\Users\Werem\AppData\Local\Temp\aa77e216-cf7b-43e1-b91a-b84b8f528396\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 03:56:36","C:\Users\Werem\AppData\Local\Temp\aa77e216-cf7b-43e1-b91a-b84b8f528396\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\aa77e216-cf7b-43e1-b91a-b84b8f528396\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 03:56:36","C:\Users\Werem\AppData\Local\Temp\aa77e216-cf7b-43e1-b91a-b84b8f528396\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-205636.json","0","0","0","0","True"
"12/31/2025 03:57:12","C:\Users\Werem\AppData\Local\Temp\78af2d54-fc04-4a41-9e89-af7377885ca3\metrics.json","C:\Users\Werem\AppData\Local\Temp\78af2d54-fc04-4a41-9e89-af7377885ca3\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-205712.json","1","1","1","0","True"
"12/31/2025 14:48:29","C:\Users\Werem\AppData\Local\Temp\c2bb47b1-672d-4bf7-bf9f-938dcffcce5a\metrics.json","C:\Users\Werem\AppData\Local\Temp\c2bb47b1-672d-4bf7-bf9f-938dcffcce5a\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 14:48:30","C:\Users\Werem\AppData\Local\Temp\c2bb47b1-672d-4bf7-bf9f-938dcffcce5a\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\c2bb47b1-672d-4bf7-bf9f-938dcffcce5a\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 14:48:31","C:\Users\Werem\AppData\Local\Temp\c2bb47b1-672d-4bf7-bf9f-938dcffcce5a\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-074831.json","0","0","0","0","True"
"12/31/2025 14:49:11","C:\Users\Werem\AppData\Local\Temp\1ab63671-d200-4776-bb9e-cf628df76a50\metrics.json","C:\Users\Werem\AppData\Local\Temp\1ab63671-d200-4776-bb9e-cf628df76a50\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-074911.json","1","1","1","0","True"
"12/31/2025 14:50:35","C:\Users\Werem\AppData\Local\Temp\73b843f4-b417-4e0f-8944-ea56ec869d69\metrics.json","C:\Users\Werem\AppData\Local\Temp\73b843f4-b417-4e0f-8944-ea56ec869d69\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 14:50:35","C:\Users\Werem\AppData\Local\Temp\73b843f4-b417-4e0f-8944-ea56ec869d69\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\73b843f4-b417-4e0f-8944-ea56ec869d69\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 14:50:36","C:\Users\Werem\AppData\Local\Temp\73b843f4-b417-4e0f-8944-ea56ec869d69\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-075036.json","0","0","0","0","True"
"12/31/2025 14:51:06","C:\Users\Werem\AppData\Local\Temp\6babbe4a-9b65-412e-9067-341c8b6624fa\metrics.json","C:\Users\Werem\AppData\Local\Temp\6babbe4a-9b65-412e-9067-341c8b6624fa\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-075105.json","1","1","1","0","True"
"12/31/2025 15:40:59","C:\Users\Werem\AppData\Local\Temp\3d03b5f2-13e1-4869-b9a9-8dba898ccb29\metrics.json","C:\Users\Werem\AppData\Local\Temp\3d03b5f2-13e1-4869-b9a9-8dba898ccb29\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 15:40:59","C:\Users\Werem\AppData\Local\Temp\3d03b5f2-13e1-4869-b9a9-8dba898ccb29\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\3d03b5f2-13e1-4869-b9a9-8dba898ccb29\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 15:41:00","C:\Users\Werem\AppData\Local\Temp\3d03b5f2-13e1-4869-b9a9-8dba898ccb29\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-084100.json","0","0","0","0","True"
"12/31/2025 15:41:23","C:\Users\Werem\AppData\Local\Temp\07bf3267-b3eb-491e-989e-ad51e7429dab\metrics.json","C:\Users\Werem\AppData\Local\Temp\07bf3267-b3eb-491e-989e-ad51e7429dab\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-084123.json","1","1","1","0","True"
"12/31/2025 16:08:17","C:\Users\Werem\AppData\Local\Temp\16d9f4e0-0d74-4556-9544-72fb8515ac24\metrics.json","C:\Users\Werem\AppData\Local\Temp\16d9f4e0-0d74-4556-9544-72fb8515ac24\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 16:08:18","C:\Users\Werem\AppData\Local\Temp\16d9f4e0-0d74-4556-9544-72fb8515ac24\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\16d9f4e0-0d74-4556-9544-72fb8515ac24\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 16:08:18","C:\Users\Werem\AppData\Local\Temp\16d9f4e0-0d74-4556-9544-72fb8515ac24\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-090818.json","0","0","0","0","True"
"12/31/2025 16:08:50","C:\Users\Werem\AppData\Local\Temp\c852f781-3d70-4955-abb6-4e1d0f7ae44c\metrics.json","C:\Users\Werem\AppData\Local\Temp\c852f781-3d70-4955-abb6-4e1d0f7ae44c\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-090849.json","1","1","1","0","True"
"12/31/2025 16:40:25","C:\Users\Werem\AppData\Local\Temp\d95fa1cb-3eed-4329-a4f2-388cba412170\metrics.json","C:\Users\Werem\AppData\Local\Temp\d95fa1cb-3eed-4329-a4f2-388cba412170\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 16:40:26","C:\Users\Werem\AppData\Local\Temp\d95fa1cb-3eed-4329-a4f2-388cba412170\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\d95fa1cb-3eed-4329-a4f2-388cba412170\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 16:40:27","C:\Users\Werem\AppData\Local\Temp\d95fa1cb-3eed-4329-a4f2-388cba412170\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-094026.json","0","0","0","0","True"
"12/31/2025 16:40:56","C:\Users\Werem\AppData\Local\Temp\ff8c8019-1772-4d19-8753-bbc8cbc704f1\metrics.json","C:\Users\Werem\AppData\Local\Temp\ff8c8019-1772-4d19-8753-bbc8cbc704f1\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-094055.json","1","1","1","0","True"
"12/31/2025 17:10:25","C:\Users\Werem\AppData\Local\Temp\b7dd2c2a-a952-4489-914b-a5ab78d41c2d\metrics.json","C:\Users\Werem\AppData\Local\Temp\b7dd2c2a-a952-4489-914b-a5ab78d41c2d\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 17:10:26","C:\Users\Werem\AppData\Local\Temp\b7dd2c2a-a952-4489-914b-a5ab78d41c2d\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\b7dd2c2a-a952-4489-914b-a5ab78d41c2d\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 17:10:26","C:\Users\Werem\AppData\Local\Temp\b7dd2c2a-a952-4489-914b-a5ab78d41c2d\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-101026.json","0","0","0","0","True"
"12/31/2025 17:10:53","C:\Users\Werem\AppData\Local\Temp\e831afa4-50e2-43fe-a231-a6c4700b2479\metrics.json","C:\Users\Werem\AppData\Local\Temp\e831afa4-50e2-43fe-a231-a6c4700b2479\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251231-101053.json","1","1","1","0","True"
"12/31/2025 17:19:25","C:\Users\Werem\AppData\Local\Temp\040c5017-91de-4287-947d-d0dfcfd56fa1\metrics.json","C:\Users\Werem\AppData\Local\Temp\040c5017-91de-4287-947d-d0dfcfd56fa1\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 17:19:25","C:\Users\Werem\AppData\Local\Temp\040c5017-91de-4287-947d-d0dfcfd56fa1\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\040c5017-91de-4287-947d-d0dfcfd56fa1\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
